genre,metascore,movie,rate,time,votes,year
"
Action, Adventure, Drama            ",67,Gladiator,8.5,155 min,1148433,(2000)
"
Mystery, Thriller            ",80,Memento,8.5,113 min,986097,(2000)
"
Comedy, Crime            ",55,Snatch,8.3,104 min,690053,(2000)
"
Drama            ",68,Requiem for a Dream,8.3,102 min,669585,(2000)
"
Action, Adventure, Sci-Fi            ",64,X-Men,7.4,104 min,514403,(2000)
"
Adventure, Drama, Romance            ",73,Cast Away,7.8,143 min,452394,(2000)
"
Crime, Drama            ",64,American Psycho,7.6,102 min,411305,(2000)
"
Drama, Mystery, Sci-Fi            ",62,Unbreakable,7.3,106 min,301880,(2000)
"
Comedy, Romance            ",73,Meet the Parents,7.0,108 min,285215,(2000)
"
Action, Adventure, Thriller            ",59,Mission: Impossible II,6.1,123 min,277164,(2000)
"
Adventure, Comedy, Crime            ",69,"O Brother, Where Art Thou?",7.8,107 min,252658,(2000)
"
Action, Crime, Thriller            ",35,Gone in Sixty Seconds,6.5,118 min,238730,(2000)
"
Action, Adventure, Fantasy            ",93,Wo hu cang long,7.9,120 min,234290,(2000)
"
Action, Drama, History            ",63,The Patriot,7.2,165 min,229816,(2000)
"
Adventure, Comedy, Drama            ",90,Almost Famous,7.9,122 min,228167,(2000)
"
Horror, Sci-Fi            ",49,Pitch Black,7.1,109 min,209362,(2000)
"
Comedy            ",48,Scary Movie,6.2,88 min,207599,(2000)
"
Comedy            ",49,"Me, Myself & Irene",6.6,116 min,203582,(2000)
"
Horror, Thriller            ",36,Final Destination,6.7,98 min,202848,(2000)
"
Adventure, Drama, Romance            ",43,The Beach,6.6,119 min,200491,(I) (2000)
"
Drama, Thriller            ",83,Amores perros,8.1,154 min,200068,(2000)
"
Crime, Drama, Thriller            ",86,Traffic,7.6,147 min,182176,(2000)
"
Biography, Drama, Sport            ",48,Remember the Titans,7.8,113 min,178571,(2000)
"
Comedy, Fantasy, Romance            ",47,What Women Want,6.4,127 min,174936,(2000)
"
Comedy, Family, Fantasy            ",46,How the Grinch Stole Christmas,6.1,104 min,167320,(2000)
"
Drama, Romance            ",64,Chocolat,7.3,121 min,163844,(2000)
"
Action, Comedy, Crime            ",43,Miss Congeniality,6.2,109 min,159874,(2000)
"
Action, Adventure, Comedy            ",52,Charlie's Angels,5.5,98 min,158371,(2000)
"
Animation, Adventure, Comedy            ",88,Chicken Run,7.0,84 min,157509,(2000)
"
Comedy, Drama, Music            ",79,High Fidelity,7.5,113 min,154809,(2000)
"
Adventure, Drama, Sci-Fi            ",81,Batoru rowaiaru,7.7,114 min,154394,(2000)
"
Biography, Drama            ",73,Erin Brockovich,7.3,131 min,152114,(2000)
"
Animation, Adventure, Comedy            ",70,The Emperor's New Groove,7.3,78 min,151114,(2000)
"
Adventure, Comedy            ",55,Road Trip,6.5,93 min,144729,(2000)
"
Action, Adventure, Drama            ",59,The Perfect Storm,6.4,130 min,143299,(2000)
"
Comedy, Mystery, Sci-Fi            ",30,"Dude, Where's My Car?",5.5,83 min,125773,(2000)
"
Action, Horror, Sci-Fi            ",24,Hollow Man,5.7,112 min,111528,(2000)
"
Horror, Mystery            ",56,Scream 3,5.5,116 min,109860,(2000)
"
Drama, Music, Romance            ",74,Billy Elliot,7.7,110 min,109550,(2000)
"
Action, Adventure, Comedy            ",77,Shanghai Noon,6.6,110 min,107735,(2000)
"
Action, Mystery, Sci-Fi            ",49,The 6th Day,5.9,123 min,107697,(2000)
"
Drama, Fantasy, Horror            ",51,What Lies Beneath,6.6,130 min,107084,(2000)
"
Drama            ",40,Pay It Forward,7.2,123 min,104579,(2000)
"
Comedy, Crime            ",47,The Whole Nine Yards,6.7,98 min,99433,(2000)
"
Drama, Romance            ",85,Faa yeung nin wa,8.1,98 min,98611,(2000)
"
Comedy, Drama, Music            ",27,Coyote Ugly,5.6,100 min,98342,(2000)
"
Biography, Drama            ",56,Men of Honor,7.2,129 min,98058,(2000)
"
Comedy, Drama, Fantasy            ",42,The Family Man,6.7,125 min,94102,(2000)
"
Crime, Drama, Mystery            ",67,Frequency,7.4,118 min,91472,(2000)
"
Crime, Drama, Musical            ",61,Dancer in the Dark,8.0,140 min,89614,(2000)
"
Comedy, Fantasy            ",49,Bedazzled,6.0,93 min,88783,(2000)
"
Comedy, Fantasy            ",38,Little Nicky,5.3,90 min,88537,(2000)
"
Horror, Sci-Fi, Thriller            ",40,The Cell,6.3,107 min,86957,(2000)
"
Comedy, Romance, Sport            ",52,Bring It On,6.0,98 min,78136,(2000)
"
Drama            ",62,Finding Forrester,7.3,136 min,77481,(2000)
"
Comedy, Drama, Romance            ",54,Malèna,7.5,108 min,75999,(2000)
"
Action, Comedy, Crime            ",33,Big Momma's House,5.1,99 min,73730,(2000)
"
Animation, Adventure, Comedy            ",51,The Road to El Dorado,6.9,89 min,70918,(2000)
"
Action, Adventure, Sci-Fi            ",9,Battlefield Earth,2.4,118 min,70835,(2000)
"
Action, War            ",62,U-571,6.6,116 min,70675,(2000)
